date,rank,title,description,url,wayback_url,source,published_at,score,score_keywords,score_position,score_cross_domain,score_us,score_captures,raw_captures
2021-10-12,1,"We’ve ‘almost certainly’ seen the 2021 high in the stock market, unless earnings clear this bar",,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/story/stock-market-highs-are-in-unless-3rd-quarter-earnings-clear-this-bar-analyst-says-11633967548?mod=home-page,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/story/stock-market-highs-are-in-unless-3rd-quarter-earnings-clear-this-bar-analyst-says-11633967548?mod=home-page,MarketWatch,2021-10-12,0.4233,0.333,0.8,0.25,0.0,0.0,0
2021-10-12,2,MarketWatch LogoGo to the homepage.,,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/,MarketWatch,2021-10-12,0.3267,0.067,1.0,0.0,0.0,0.0,0
2021-10-12,3,"SoFi is the ‘fastest growth story in consumer finance,’ analyst says as stock pops",,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/story/sofi-is-the-fastest-growth-story-in-consumer-finance-analyst-says-as-stock-pops-11633981242?mod=home-page,https://web.archive.org/web/20211012004420/https://www.marketwatch.com/story/sofi-is-the-fastest-growth-story-in-consumer-finance-analyst-says-as-stock-pops-11633981242?mod=home-page,MarketWatch,2021-10-12,0.2567,0.067,0.6,0.25,0.0,0.0,0
2022-04-19,1,A jumbo 75-basis-point rate hike? Fed’s Bullard isn’t ruling is out,,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/a-jumbo-75-basis-point-rate-hike-feds-bullard-isnt-ruling-is-out-11650321647?mod=home-page,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/a-jumbo-75-basis-point-rate-hike-feds-bullard-isnt-ruling-is-out-11650321647?mod=home-page,MarketWatch,2022-04-19,0.4217,0.367,0.75,0.25,0.0,0.0,0
2022-04-19,2,Why consider the Dow transports when they point to a slowing economy? Because these 7 stocks are cheap,,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/why-consider-the-dow-transports-when-they-point-to-a-slowing-economy-because-these-7-stocks-are-cheap-11650293652?mod=home-page,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/why-consider-the-dow-transports-when-they-point-to-a-slowing-economy-because-these-7-stocks-are-cheap-11650293652?mod=home-page,MarketWatch,2022-04-19,0.3846,0.133,0.938,0.25,0.0,0.0,0
2022-04-19,3,‘The housing market faces an inflection point’: Home-builder confidence declines as interest rates rise,,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/home-builder-confidence-declines-in-the-face-of-rising-interest-rates-11650290417?mod=home-page,https://web.archive.org/web/20220419010259/https://www.marketwatch.com/story/home-builder-confidence-declines-in-the-face-of-rising-interest-rates-11650290417?mod=home-page,MarketWatch,2022-04-19,0.3412,0.4,0.438,0.25,0.0,0.0,0
2022-07-05,1,MarketWatch LogoGo to the homepage.,,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/,MarketWatch,2022-07-05,0.309,0.067,0.941,0.0,0.0,0.0,0
2022-07-05,2,"With prices skirting a 17-month low, Dr Copper’s prognosis about the global economy is downbeat",,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/story/with-prices-skirting-a-17-month-low-dr-coppers-prognosis-about-the-global-economy-is-downbeat-11656933741?mod=home-page,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/story/with-prices-skirting-a-17-month-low-dr-coppers-prognosis-about-the-global-economy-is-downbeat-11656933741?mod=home-page,MarketWatch,2022-07-05,0.2737,0.067,0.824,0.0,0.0,0.0,0
2022-07-05,3,Fourth of July closings: Are banks and the post office open on July 4?,,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/story/fourth-of-july-closings-are-banks-and-the-post-office-open-on-july-4-11656680615?mod=home-page,https://web.archive.org/web/20220705000801/https://www.marketwatch.com/story/fourth-of-july-closings-are-banks-and-the-post-office-open-on-july-4-11656680615?mod=home-page,MarketWatch,2022-07-05,0.1988,0.1,0.529,0.0,0.0,0.0,0
2022-09-05,1,Is the U.S. stock market closed on Labor Day?,,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/story/is-the-stock-market-closed-on-labor-day-11662071421?mod=home-page,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/story/is-the-stock-market-closed-on-labor-day-11662071421?mod=home-page,MarketWatch,2022-09-05,0.4567,0.333,0.8,0.25,0.333,0.0,0
2022-09-05,2,MarketWatch LogoGo to the homepage.,,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/,MarketWatch,2022-09-05,0.3267,0.067,1.0,0.0,0.0,0.0,0
2022-09-05,3,"If you need one more reason why stocks will likely lose money in September, here it is.",,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/story/if-you-need-one-more-reason-why-stocks-will-likely-lose-money-in-september-here-it-is-11662108548?mod=home-page,https://web.archive.org/web/20220905000337/https://www.marketwatch.com/story/if-you-need-one-more-reason-why-stocks-will-likely-lose-money-in-september-here-it-is-11662108548?mod=home-page,MarketWatch,2022-09-05,0.2967,0.067,0.9,0.0,0.0,0.0,0
